game_date,label,n,base_rate,mean_pred,auc,brier,brier_skill,clean_n,clean_base_rate,clean_mean_pred,clean_auc,clean_brier,clean_brier_skill
2026-08-18,at least 1 home run,270,0.1185185185185185,0.1128836120073456,0.6231617647058825,0.1022908217318609,0.0208769821096818,,,,,,
2026-08-18,at least 1 hit,270,0.6111111111111112,0.6001494820150063,0.5624819624819625,0.2354257202556262,0.0093774887945078,,,,,,
2026-08-18,at least 1 walk,270,0.2814814814814815,0.3227211878397677,0.5860010851871947,0.2012315743636683,0.0050337919756225,,,,,,
2026-08-18,H+R+RBI over 0.5,270,0.6592592592592592,0.64508492486543,0.5439667806546165,0.2253528945496899,-0.0031891800606007,,,,,,
2026-08-18,H+R+RBI over 1.5,270,0.4333333333333333,0.441898724931631,0.5667281157477235,0.2426792629051955,0.0117134089833668,,,,,,
2026-08-18,H+R+RBI over 2.5,270,0.2777777777777778,0.284790670675712,0.5757264957264958,0.1977009146208515,0.014536979428371,,,,,,
2026-08-18,H+R+RBI over 3.5,270,0.174074074074074,0.1693119583564051,0.605858219635531,0.1407522506167751,0.0210057179693821,,,,,,
2026-08-19,at least 1 home run,270,0.0851851851851851,0.111721643374156,0.48600598486182,0.079239820431891,-0.0168250148714763,162.0,0.0987654320987654,0.113196523391379,0.526541095890411,0.0881840243261968,0.0092887267051755
2026-08-19,at least 1 hit,270,0.5851851851851851,0.5979051056464666,0.5541930379746836,0.2407906597212427,0.0080448070932079,162.0,0.6049382716049383,0.5959799890878527,0.5601084183673468,0.2367502758861637,0.0093631632084688
2026-08-19,at least 1 walk,270,0.3259259259259259,0.3236226869484124,0.5878496503496503,0.2159886419228644,0.0168848653735752,162.0,0.3148148148148148,0.3155076518488238,0.5949478890655361,0.2098316720439214,0.0272350466135535
2026-08-19,H+R+RBI over 0.5,270,0.6444444444444445,0.6426047844164312,0.5732758620689655,0.2263579953136716,0.0121229730383943,162.0,0.6666666666666666,0.6384903772928932,0.5977366255144032,0.2183583019391213,0.0173876412739537
2026-08-19,H+R+RBI over 1.5,270,0.4592592592592592,0.4389204756941217,0.5802585064074238,0.2439470164011679,0.0176901515883152,162.0,0.4876543209876543,0.4346955660982999,0.5929540948604545,0.2463082422551079,0.0141660043094319
2026-08-19,H+R+RBI over 2.5,270,0.2666666666666666,0.2820402668087001,0.492003367003367,0.2003546890827464,-0.0245410237185894,162.0,0.2901234567901234,0.2784706358226841,0.5259944495837188,0.2077011466951145,-0.0084937823989983
2026-08-19,H+R+RBI over 3.5,270,0.1481481481481481,0.1670667087831585,0.5013043478260869,0.1286981209086283,-0.0197927189390225,162.0,0.1481481481481481,0.1644031657587457,0.5404589371980677,0.1270697504053283,-0.0068896526683082
2026-08-19,Total bases over 0.5,270,0.5851851851851851,0.5727935343678718,0.5563969258589512,0.2418111887119808,0.0038406613300517,162.0,0.6049382716049383,0.5720051478836228,0.5744579081632653,0.2370143891588915,0.008258031076857
2026-08-19,Total bases over 1.5,270,0.3111111111111111,0.336033637575243,0.5396825396825397,0.2155800346845035,-0.0058745857975106,162.0,0.3271604938271605,0.335491910341332,0.5665570365241475,0.2175274806079642,0.0118069584428915
2026-08-19,Total bases over 2.5,270,0.1666666666666666,0.198858088709783,0.4871111111111111,0.1426033506405873,-0.0267441246122288,162.0,0.1790123456790123,0.1985711069017937,0.5320197044334976,0.1478823023660365,-0.0062284530189944
2026-08-19,Total bases over 3.5,270,0.1037037037037037,0.1422455556921467,0.4881936245572609,0.0953366307116591,-0.0256848256906658,162.0,0.1234567901234567,0.1420850424209162,0.498943661971831,0.1090112110958845,-0.0073557126761956
